,Полное наименование организации,Полное наименование эмитента,Наименование инструмента,Название ценной бумаги,Существо обязательств маркет-мейкера,Дата начала действия договора/соглашения,Дата и время раскрытия информации о заключении договора,Срок действия договора,Режим торгов *,Дата изменения,Дата и время раскрытия информации об изменении,Дата окончания (срока) действия договора/ исполнения обязательств по ц.б.,Дата и время раскрытия информации о Дате окончания (срока) действия договора/исполнения обязательств по ц.б.,code,market,engine,board
276,"""Эйч-эс-би-си Банк (РР)"" (Общество с ограниченной ответственностью)",Министерство финансов Российской Федерации,29010RMFS,облигации федерального займа с переменным купонным доходом,поддержание цены,2018-04-06 00:00:00,2018-04-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU29010RMFS4,bonds,stock,TQOB
277,"Общество с ограниченной ответственностью ""УНИВЕР Капитал""",Министерство финансов Российской Федерации,29010RMFS,облигации федерального займа с переменным купонным доходом,поддержание цены,2018-10-23 00:00:00,2018-10-24 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU29010RMFS4,bonds,stock,TQOB
278,"Общество с ограниченной ответственностью ""АЛОР +""",Министерство финансов Российской Федерации,29010RMFS,облигации федерального займа с переменным купонным доходом,поддержание цены,2018-11-02 00:00:00,2018-11-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU29010RMFS4,bonds,stock,TQOB
279,"Общество с ограниченной ответственностью ""АЛОР +""",Министерство финансов Российской Федерации,29010RMFS,облигации федерального займа с переменным купонным доходом,поддержание цены,2018-11-02 00:00:00,2018-11-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU29010RMFS4,bonds,stock,TQOB
280,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""",Министерство финансов Российской Федерации,29010RMFS,облигации федерального займа с переменным купонным доходом,поддержание цены,2018-11-23 00:00:00,2018-11-23 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU29010RMFS4,bonds,stock,TQOB
281,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""",Министерство финансов Российской Федерации,26214RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU26214RMFS5,bonds,stock,TQOB
282,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""",Министерство финансов Российской Федерации,26214RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU26214RMFS5,bonds,stock,TQOB
283,"Акционерное общество ""Банк Кредит Свисс (Москва)""",Министерство финансов Российской Федерации,26214RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-01-11 00:00:00,2017-01-11 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU26214RMFS5,bonds,stock,TQOB
284,"""Газпромбанк"" (Акционерное общество)",Министерство финансов Российской Федерации,26214RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-02-07 00:00:00,2017-02-07 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU26214RMFS5,bonds,stock,TQOB
285,"Публичное акционерное общество ""Бест Эффортс Банк""",Министерство финансов Российской Федерации,26214RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-03-20 00:00:00,2017-03-20 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU26214RMFS5,bonds,stock,TQOB
