,Полное наименование организации,Полное наименование эмитента,Наименование инструмента,Название ценной бумаги,Существо обязательств маркет-мейкера,Дата начала действия договора/соглашения,Дата и время раскрытия информации о заключении договора,Срок действия договора,Режим торгов *,Дата изменения,Дата и время раскрытия информации об изменении,Дата окончания (срока) действия договора/ исполнения обязательств по ц.б.,Дата и время раскрытия информации о Дате окончания (срока) действия договора/исполнения обязательств по ц.б.,code,market,engine,board
56,"Общество с ограниченной ответственностью ""ИК ВЕЛЕС Капитал""","Публичное акционерное общество ""Мобильные ТелеСистемы""",1-01-04715-A,Акции обыкновенные,поддержание цены,2018-04-30 00:00:00,2018-04-30 19:30:00,30.12.2018 с пролонгацией,T+,,,,,MTSS,shares,stock,TQBR
57,"Общество с ограниченной ответственностью ""РЕГИОН Инвестиции""","Публичное акционерное общество ""Мобильные ТелеСистемы""",1-01-04715-A,Акции обыкновенные,поддержание цены,2018-05-04 00:00:00,2018-05-04 19:30:00,31.12.2018 с пролонгацией,T+,,,,,MTSS,shares,stock,TQBR
58,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Акрон""",1-03-00207-A,акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-07-20 00:00:00,2016-07-20 19:30:00,,,AKRN,shares,stock,TQBR
59,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Акрон""",1-03-00207-A,акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-07-20 00:00:00,2016-07-20 19:30:00,,,AKRN,shares,stock,TQBR
60,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""",1-01-55038-E,Акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,HYDR,shares,stock,TQBR
61,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""",1-01-55038-E,Акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,HYDR,shares,stock,TQBR
62,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""",1-01-55038-E,Акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,HYDR,shares,stock,TQBR
63,"Акционерное общество Инвестиционная Компания ""ЦЕРИХ Кэпитал Менеджмент""","Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""",1-01-55038-E,Акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,HYDR,shares,stock,TQBR
64,"Общество с ограниченной ответственностью ""АЛОР +""","Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""",1-01-55038-E,Акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,HYDR,shares,stock,TQBR
65,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""",1-01-55038-E,Акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,HYDR,shares,stock,TQBR
66,"Инвестиционный Банк ""ВЕСТА"" (Общество с ограниченной ответственностью)","Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""",1-01-55038-E,Акции обыкновенные,поддержание цены,2017-03-22 00:00:00,2017-03-22 19:30:00,30.12.2017 с пролонгацией,T+,,,,,HYDR,shares,stock,TQBR
67,"Общество с ограниченной ответственностью ""Ренессанс Брокер""","Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""",1-01-55038-E,Акции обыкновенные,поддержание цены,2017-08-25 00:00:00,2017-08-25 19:30:00,30.12.2017 с пролонгацией,T+,,,,,HYDR,shares,stock,TQBR
68,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""","Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""",1-01-55038-E,Акции обыкновенные,поддержание цены,2017-09-26 00:00:00,2017-09-28 19:30:00,30.12.2017 с пролонгацией,T+,,,,,HYDR,shares,stock,TQBR
69,"Общество с ограниченной ответственностью Инвестиционная компания ""Фридом Финанс""","Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""",1-01-55038-E,Акции обыкновенные,поддержание цены,2017-10-26 00:00:00,2017-10-26 19:30:00,30.12.2017 с пролонгацией,T+,,,,,HYDR,shares,stock,TQBR
70,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""",1-01-55038-E,Акции обыкновенные,поддержание цены,2017-10-26 00:00:00,2017-10-27 19:30:00,30.12.2017 с пролонгацией,T+,,,,,HYDR,shares,stock,TQBR
71,"Общество с ограниченной ответственностью ""ИК ВЕЛЕС Капитал""","Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""",1-01-55038-E,Акции обыкновенные,поддержание цены,2018-04-30 00:00:00,2018-04-30 19:30:00,30.12.2018 с пролонгацией,T+,,,,,HYDR,shares,stock,TQBR
72,"Общество с ограниченной ответственностью ""РЕГИОН Инвестиции""","Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""",1-01-55038-E,Акции обыкновенные,поддержание цены,2018-05-04 00:00:00,2018-05-04 19:30:00,31.12.2018 с пролонгацией,T+,,,,,HYDR,shares,stock,TQBR
